Date,Closing Price,Open,High,Low
2021-04-01,0.0599140442,0.0537247306,0.0712055878,0.053626903
2021-04-02,0.0574238167,0.0620565754,0.0628421681,0.0573229685
2021-04-03,0.0563784774,0.0575957894,0.0594856886,0.0560073893
2021-04-04,0.057309917,0.0555667878,0.0582439472,0.0551696942
2021-04-05,0.0589234204,0.0574579844,0.0593147316,0.0562645421
2021-04-06,0.0630599071,0.0599549147,0.0653250048,0.0580659673
2021-04-07,0.0601873248,0.0644360516,0.0674773224,0.0571396904
2021-04-08,0.0611705401,0.0588224037,0.0624079822,0.0586611523
2021-04-09,0.0616745563,0.0617611871,0.064287791,0.0604773586
2021-04-10,0.0635717714,0.0616170695,0.0651114074,0.0609425277
2021-04-11,0.0756353606,0.0637613937,0.0800344807,0.0633248084
2021-04-12,0.0715775832,0.0743739033,0.0754303584,0.0686909801
2021-04-13,0.0924414626,0.0707960231,0.0945170983,0.0706332349
2021-04-14,0.1275778771,0.0944300679,0.1453077308,0.0921680662
2021-04-15,0.1721661479,0.1213803673,0.1918410211,0.119870139
2021-04-16,0.3795198355,0.1825578624,0.4504864955,0.1793083416
2021-04-17,0.3056824558,0.3661458141,0.3814350384,0.2316461761
2021-04-18,0.3318115983,0.2830447075,0.3515335856,0.2423578071
2021-04-19,0.416551143,0.3234615407,0.4284610126,0.3094471019
2021-04-20,0.3353962068,0.409620872,0.4240822561,0.2709820723
2021-04-21,0.3079602783,0.3177229257,0.3479294314,0.2965318528
2021-04-22,0.2683380608,0.3061761778,0.3092297685,0.2533026978
2021-04-23,0.2391444357,0.2608255356,0.2694052621,0.1608116986
2021-04-24,0.2714234993,0.2502502263,0.2911596938,0.2309292547
2021-04-25,0.2479777158,0.270787752,0.2884257345,0.226516875
2021-04-26,0.2663730697,0.2520194322,0.2808529952,0.2476982097
2021-04-27,0.2719959145,0.2718173736,0.2803146659,0.2648406439
2021-04-28,0.3163290205,0.2726708395,0.3462542438,0.2563125132
2021-04-29,0.3077020849,0.3234480721,0.3247968952,0.2961993453
2021-04-30,0.3351472656,0.3051134847,0.340012902,0.3025994643
2021-05-01,0.3851596652,0.337656106,0.3926873505,0.3282974568
2021-05-02,0.3784028647,0.3911239327,0.4001204117,0.3625018187
2021-05-03,0.4364162999,0.3746158191,0.4478349794,0.3743830083
2021-05-04,0.5425109667,0.4417594899,0.61113518,0.4043269761
2021-05-05,0.6416045016,0.5393155908,0.696495456,0.5210108059
2021-05-06,0.586173406,0.6539020933,0.66479447,0.5412518183
2021-05-07,0.7223204769,0.5814790756,0.73407397,0.5180432021
2021-05-08,0.6436801234,0.6911740007,0.7400103296,0.6019518324
2021-05-09,0.585158958,0.6382536542,0.7018368816,0.4186942298
2021-05-10,0.456113233,0.5714521813,0.5722505203,0.4204495716
2021-05-11,0.5024757846,0.4511661129,0.5487958591,0.4439690247
2021-05-12,0.4519935089,0.4943966041,0.5215903795,0.4326168811
2021-05-13,0.4300419337,0.3918606792,0.4563288244,0.3552791968
2021-05-14,0.5550034809,0.4895582417,0.5912714024,0.4651788546
2021-05-15,0.5109660608,0.5606873192,0.5646933887,0.4916051286
2021-05-16,0.4924255373,0.5089457071,0.5490971896,0.4497456805
2021-05-17,0.4822827545,0.5139744267,0.5162634829,0.4562491625
2021-05-18,0.4805031368,0.4877243443,0.508853277,0.469999313
2021-05-19,0.3681395042,0.4765880792,0.4801362602,0.2391107703
2021-05-20,0.3960534219,0.3308579727,0.436621732,0.3035892145
2021-05-21,0.3574657668,0.3990012842,0.4125680574,0.3147867835
2021-05-22,0.3435665149,0.3587120448,0.3638975863,0.3177552916
2021-05-23,0.3091838217,0.3425808384,0.3506859332,0.2489122289
2021-05-24,0.3490122229,0.3067020539,0.3749937013,0.2961141858
